SESSION,ANIMAL_ID,SO,LOC_ID,SEX
1,1,30,12,M
1,1,45,27,M
1,1,46,21,M
1,1,63,15,M
1,1,65,19,M
1,1,67,5,M
1,1,69,5,M
1,1,73,15,M
1,1,79,15,M
1,2,66,16,M
1,2,66,15,M
1,2,67,11,M
1,2,79,16,M
1,3,66,15,M
1,3,67,11,M
1,3,85,20,M
1,4,33,24,M
1,4,66,16,M
1,4,67,11,M
1,4,80,17,M
1,4,87,16,M
1,5,54,12,M
1,5,79,20,M
1,6,45,27,M
1,6,53,31,M
1,6,63,15,M
1,6,73,15,M
1,6,89,40,M
1,7,33,24,M
1,7,42,24,M
1,8,35,28,M
1,8,37,26,M
1,8,45,28,M
1,8,50,30,M
1,8,63,28,M
1,8,88,26,M
1,9,59,34,M
1,10,50,21,M
1,11,23,14,F
1,11,50,7,F
1,11,63,15,F
1,12,39,28,F
1,12,41,28,F
1,12,42,28,F
1,13,40,28,F
1,13,41,28,F
1,13,54,28,F
1,13,63,28,F
1,13,89,28,F
1,14,23,28,F
1,14,41,28,F
1,14,42,28,F
1,14,63,28,F
1,14,89,28,F
1,15,85,28,F
1,16,50,7,F
1,16,86,14,F
1,20,30,12,F
1,21,73,15,F
1,21,86,14,F
1,22,50,21,F
1,17,72,20,F
1,18,40,12,F
